iteration	job_id	seed	score	location	menu	equipment	contract	capital	manager_skill	budget	cash	debt	reputation	days	game_over	reason
0	764d6a8e	1780974744	56930.92	mall	everyday	automated	spot	all-equity	8	10000	53555.75	0.00	14.00	119	True	Reputation collapse (< 15)
1	764d6a8e	1780974745	72567.29	mall	everyday	automated	spot	all-equity	8	10000	69887.50	0.00	14.50	77	True	Reputation collapse (< 15)
2	764d6a8e	1780974746	42066.61	mall	everyday	automated	spot	all-equity	8	8000	38565.51	0.00	14.00	152	True	Reputation collapse (< 15)
3	764d6a8e	1780974747	27180.24	mall	everyday	automated	spot	all-equity	6	12000	22803.70	0.00	14.50	176	True	Reputation collapse (< 15)
4	764d6a8e	1780974748	18961.53	mall	everyday	automated	spot	all-equity	6	10000	15697.39	0.00	14.00	147	True	Reputation collapse (< 15)
5	764d6a8e	1780974749	49101.63	mall	everyday	automated	spot	all-equity	7	8000	45898.76	0.00	14.50	127	True	Reputation collapse (< 15)
6	764d6a8e	1780974750	33154.38	mall	everyday	automated	spot	all-equity	6	12000	27986.87	0.00	13.50	212	True	Reputation collapse (< 15)
7	764d6a8e	1780974751	13612.66	mall	everyday	automated	spot	all-equity	8	10000	10444.43	0.00	4.50	182	True	Reputation collapse (< 15)
8	764d6a8e	1780974752	-2856.63	mall	everyday	automated	spot	all-equity	6	15000	-6794.63	0.00	24.50	122	True	Bankruptcy: deeply negative cash
9	764d6a8e	1780974753	-510.18	mall	everyday	automated	spot	all-equity	5	15000	-5438.65	0.00	22.50	164	True	Bankruptcy: deeply negative cash
10	764d6a8e	1780974754	-380.94	mall	everyday	automated	spot	all-equity	5	15000	-4604.38	0.00	14.50	175	True	Reputation collapse (< 15)
11	764d6a8e	1780974755	144.62	mall	everyday	automated	spot	all-equity	7	15000	-5778.18	0.00	16.50	233	True	Bankruptcy: deeply negative cash
12	764d6a8e	1780974756	36690.52	mall	everyday	automated	spot	all-equity	5	10000	31807.12	0.00	14.50	196	True	Reputation collapse (< 15)
13	764d6a8e	1780974757	-4753.41	mall	everyday	automated	spot	all-equity	6	12000	-9875.76	0.00	22.00	199	True	Bankruptcy: deeply negative cash
14	764d6a8e	1780974758	34156.67	mall	everyday	automated	spot	all-equity	7	10000	30902.90	0.00	14.00	140	True	Reputation collapse (< 15)
15	764d6a8e	1780974759	10206.46	mall	everyday	automated	spot	all-equity	5	15000	4269.15	0.00	13.50	212	True	Reputation collapse (< 15)
16	764d6a8e	1780974760	18560.12	mall	everyday	automated	spot	all-equity	6	8000	15496.92	0.00	5.50	182	True	Reputation collapse (< 15)
